# Constructed from biom file
#OTU ID	DNA.profile
k__Archaea;p__Euryarchaeota;g__Methanobrevibacter;s__Methanobrevibacter smithii	0.002783
k__Bacteria;p__Actinobacteria;g__Actinomyces;s__unknown	0.000141
k__Bacteria;p__Actinobacteria;g__Adlercreutzia;s__Adlercreutzia equolifaciens	0.000891
k__Bacteria;p__Actinobacteria;g__Asaccharobacter;s__Asaccharobacter celatus	0.001609
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium bifidum	0.001923
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium longum	0.001512
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	0.002291
k__Bacteria;p__Actinobacteria;g__Collinsella;s__Collinsella intestinalis	0.000371
k__Bacteria;p__Actinobacteria;g__Collinsella;s__uncultured Collinsella sp.	0.003373
k__Bacteria;p__Actinobacteria;g__Collinsella;s__unknown	0.003499
k__Bacteria;p__Actinobacteria;g__Cryptobacterium;s__unknown	0.000113
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__Eggerthella lenta	0.000537
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__uncultured Eggerthella sp.	0.000266
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__unknown	0.000620
k__Bacteria;p__Actinobacteria;g__Enorma;s__Enorma massiliensis	0.000387
k__Bacteria;p__Actinobacteria;g__Gordonibacter;s__Gordonibacter pamelaeae	0.000274
k__Bacteria;p__Actinobacteria;g__unknown;s__Coriobacteriia bacterium	0.000241
k__Bacteria;p__Actinobacteria;g__unknown;s__uncultured Coriobacteriaceae bacterium	0.000490
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes communis	0.001568
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes finegoldii	0.001281
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes ihumii	0.001075
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes indistinctus	0.000122
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii	0.003839
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes putredinis	0.007202
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes shahii	0.008369
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes timonensis	0.000325
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__uncultured Alistipes sp.	0.000834
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides caccae CAG:21	0.001710
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus	0.006696
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158	0.003885
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei	0.010109
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei CAG:222	0.002294
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides eggerthii	0.000205
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides faecis	0.005998
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii	0.001576
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii CAG:203	0.001229
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides fragilis	0.001035
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides massiliensis	0.007019
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides ovatus	0.013779
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides salyersiae	0.004527
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides stercoris	0.006483
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides thetaiotaomicron	0.008322
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides timonensis	0.001252
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides uniformis	0.023876
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides vulgatus	0.071930
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides xylanisolvens	0.003635
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__uncultured Bacteroides sp.	0.005579
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown	0.003584
k__Bacteria;p__Bacteroidetes;g__Barnesiella;s__Barnesiella intestinihominis	0.002615
