# Constructed from biom file
#OTU ID	DNA.profile
k__Archaea;p__Euryarchaeota;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__unknown;y__unknown	9367
k__Bacteria;p__Actinobacteria;g__Actinomyces;s__unknown;x__unknown;y__unknown	475
k__Bacteria;p__Actinobacteria;g__Adlercreutzia;s__Adlercreutzia equolifaciens;x__unknown;y__unknown	2997
k__Bacteria;p__Actinobacteria;g__Asaccharobacter;s__Asaccharobacter celatus;x__unknown;y__unknown	5414
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium bifidum;x__unknown;y__unknown	6472
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium longum;x__unknown;y__unknown	5090
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum;x__unknown;y__unknown	7709
k__Bacteria;p__Actinobacteria;g__Collinsella;s__Collinsella intestinalis;x__unknown;y__unknown	1248
k__Bacteria;p__Actinobacteria;g__Collinsella;s__uncultured Collinsella sp.;x__unknown;y__unknown	11350
k__Bacteria;p__Actinobacteria;g__Collinsella;s__unknown;x__unknown;y__unknown	11777
k__Bacteria;p__Actinobacteria;g__Cryptobacterium;s__unknown;x__unknown;y__unknown	380
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__Eggerthella lenta;x__unknown;y__unknown	1807
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__uncultured Eggerthella sp.;x__unknown;y__unknown	896
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__unknown;x__unknown;y__unknown	2086
k__Bacteria;p__Actinobacteria;g__Enorma;s__Enorma massiliensis;x__unknown;y__unknown	1303
k__Bacteria;p__Actinobacteria;g__Gordonibacter;s__Gordonibacter pamelaeae;x__unknown;y__unknown	922
k__Bacteria;p__Actinobacteria;g__unknown;s__Coriobacteriia bacterium;x__unknown;y__unknown	811
k__Bacteria;p__Actinobacteria;g__unknown;s__uncultured Coriobacteriaceae bacterium;x__unknown;y__unknown	1648
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes communis;x__unknown;y__unknown	5276
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes finegoldii;x__unknown;y__unknown	4311
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes ihumii;x__unknown;y__unknown	3618
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes indistinctus;x__unknown;y__unknown	410
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii;x__Alistipes onderdonkii subsp. vulgaris;y__unknown	8727
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii;x__unknown;y__unknown	4194
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes putredinis;x__unknown;y__unknown	24238
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes shahii;x__unknown;y__unknown	28165
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes timonensis;x__unknown;y__unknown	1093
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__uncultured Alistipes sp.;x__unknown;y__unknown	2808
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides caccae CAG:21;x__unknown;y__unknown	5755
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158;x__unknown;y__unknown	13073
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus;x__unknown;y__unknown	22536
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei CAG:222;x__unknown;y__unknown	7721
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei;x__unknown;y__unknown	34022
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides eggerthii;x__unknown;y__unknown	690
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides faecis;x__unknown;y__unknown	20184
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii CAG:203;x__unknown;y__unknown	4136
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii;x__unknown;y__unknown	5304
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides fragilis;x__unknown;y__unknown	3482
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides massiliensis;x__unknown;y__unknown	23620
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides ovatus;x__unknown;y__unknown	46373
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides salyersiae;x__unknown;y__unknown	15236
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides stercoris;x__unknown;y__unknown	21817
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides thetaiotaomicron;x__unknown;y__unknown	28007
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides timonensis;x__unknown;y__unknown	4212
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides uniformis;x__unknown;y__unknown	80352
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides vulgatus;x__unknown;y__unknown	242070
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides xylanisolvens;x__unknown;y__unknown	12232
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__uncultured Bacteroides sp.;x__unknown;y__unknown	18776
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown	12062
k__Bacteria;p__Bacteroidetes;g__Barnesiella;s__Barnesiella intestinihominis;x__unknown;y__unknown	8802
k__Bacteria;p__Bacteroidetes;g__Butyricimonas;s__Butyricimonas faecalis;x__unknown;y__unknown	4450
k__Bacteria;p__Bacteroidetes;g__Butyricimonas;s__Butyricimonas virosa;x__unknown;y__unknown	1924
k__Bacteria;p__Bacteroidetes;g__Gabonia;s__Gabonia massiliensis;x__unknown;y__unknown	378
k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__Odoribacter laneus;x__unknown;y__unknown	3236
k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__Odoribacter splanchnicus;x__unknown;y__unknown	11540
k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__uncultured Odoribacter sp.;x__unknown;y__unknown	298
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides distasonis;x__unknown;y__unknown	40524
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides goldsteinii;x__unknown;y__unknown	2924
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides johnsonii;x__unknown;y__unknown	7880
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides merdae;x__unknown;y__unknown	7561
k__Bacteria;p__Bacteroidetes;g__Tidjanibacter;s__Tidjanibacter massiliensis;x__unknown;y__unknown	840
k__Bacteria;p__Candidatus Melainabacteria;g__unknown;s__Candidatus Gastranaerophilales bacterium;x__unknown;y__unknown	12465
k__Bacteria;p__Firmicutes;g__Agathobaculum;s__Agathobaculum butyriciproducens;x__unknown;y__unknown	14447
k__Bacteria;p__Firmicutes;g__Anaerobutyricum;s__Anaerobutyricum hallii;x__unknown;y__unknown	17174
k__Bacteria;p__Firmicutes;g__Anaerobutyricum;s__Anaerobutyricum soehngenii;x__unknown;y__unknown	3472
k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus;s__unknown;x__unknown;y__unknown	5813
k__Bacteria;p__Firmicutes;g__Anaerostipes;s__Anaerostipes hadrus;x__unknown;y__unknown	34723
k__Bacteria;p__Firmicutes;g__Anaerotignum;s__Anaerotignum faecicola;x__unknown;y__unknown	2452
k__Bacteria;p__Firmicutes;g__Anaerotruncus;s__Anaerotruncus colihominis;x__unknown;y__unknown	886
k__Bacteria;p__Firmicutes;g__Anaerotruncus;s__Anaerotruncus massiliensis;x__unknown;y__unknown	1879
k__Bacteria;p__Firmicutes;g__Bittarella;s__Bittarella massiliensis;x__unknown;y__unknown	725
k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia hansenii;x__unknown;y__unknown	858
k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia massiliensis;x__unknown;y__unknown	16463
k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia obeum;x__unknown;y__unknown	63571
k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia wexlerae;x__unknown;y__unknown	53536
k__Bacteria;p__Firmicutes;g__Blautia;s__[Ruminococcus] gnavus;x__unknown;y__unknown	8511
