Taxon	DNA.profile
g__Methanobrevibacter	0.002783
g__Actinomyces	0.000141
g__Adlercreutzia	0.000891
g__Asaccharobacter	0.001609
g__Bifidobacterium	0.005726
g__Collinsella	0.007243
g__Cryptobacterium	0.000113
g__Eggerthella	0.001423
g__Enorma	0.000387
g__Gordonibacter	0.000274
p__Actinobacteria	0.000731
g__Alistipes	0.024615
g__Bacteroides	0.184722
g__Barnesiella	0.002615
g__Butyricimonas	0.001894
g__Gabonia	0.000112
g__Odoribacter	0.004479
g__Parabacteroides	0.017498
g__Tidjanibacter	0.000250
p__Candidatus Melainabacteria	0.003704
g__Agathobaculum	0.004293
g__Anaerobutyricum	0.006135
g__Anaeromassilibacillus	0.001727
g__Anaerostipes	0.010318
g__Anaerotignum	0.000729
g__Anaerotruncus	0.000822
g__Bittarella	0.000215
g__Blautia	0.061798
g__Butyricicoccus	0.000204
g__Candidatus Cibiobacter	0.003793
g__Candidatus Stoquefichus	0.000106
g__Catabacter	0.000227
g__Clostridium	0.049851
g__Coprococcus	0.008204
g__Dialister	0.001431
g__Dorea	0.012249
g__Dysosmobacter	0.002246
g__Eisenbergiella	0.001407
g__Erysipelatoclostridium	0.000274
g__Eubacterium	0.026121
g__Evtepia	0.000692
g__Faecalibacterium	0.081002
g__Faecalicatena	0.000221
g__Flavonifractor	0.000723
g__Frisingicoccus	0.000297
g__Fusicatenibacter	0.026756
g__Gemmiger	0.007244
g__Holdemania	0.000491
g__Hungatella	0.000119
g__Intestinimonas	0.000771
g__Lachnobacterium	0.006613
g__Lachnoclostridium	0.004483
g__Lachnotalea	0.000208
g__Lactobacillus	0.001123
g__Lactococcus	0.000225
g__Lawsonibacter	0.001644
g__Longibaculum	0.000105
g__Marvinbryantia	0.001356
g__Massilioclostridium	0.000125
g__Mediterraneibacter	0.000563
g__Megamonas	0.006423
g__Merdibacter	0.000223
g__Monoglobus	0.001432
g__Mordavella	0.000178
g__Negativibacillus	0.000733
g__Neglecta	0.000692
g__Oscillibacter	0.013165
g__Phascolarctobacterium	0.002862
g__Phocea	0.000104
g__Pseudoflavonifractor	0.000818
g__Pseudoruminoccoccus	0.006145
g__Romboutsia	0.000625
g__Roseburia	0.034458
g__Ruminococcus	0.092862
g__Ruthenibacterium	0.001820
g__Solobacterium	0.001013
g__Staphylococcus	0.000076
g__Streptococcus	0.000368
g__Subdoligranulum	0.026242
g__Turicibacter	0.000163
g__Tyzzerella	0.001916
p__Firmicutes	0.192644
p__Lentisphaerae	0.000571
g__Acetobacter	0.001519
g__Acinetobacter	0.000589
g__Bilophila	0.001314
g__Desulfovibrio	0.000610
g__Escherichia	0.000556
g__Klebsiella	0.000213
g__Oxalobacter	0.000133
g__Parasutterella	0.001252
g__Sutterella	0.002627
p__Proteobacteria	0.000583
g__Mycoplasma	0.000172
p__Tenericutes	0.001444
g__Akkermansia	0.011188
k__Bacteria	0.004143
