species,protein,read_counts
unknown,recombinase A,13
unknown,3-isopropylmalate dehydrogenase,1
unknown,glycosyl transferase CpsE,1
unknown,galactose/methyl galaxtoside transporter ATP-binding protein,1
unknown,transcriptional repressor CodY,3
unknown,phosphate ABC transporter ATP-binding protein,1
unknown,endopeptidase Clp ATP-binding chain C,10
unknown,Holliday junction DNA helicase RuvB,1
unknown,peptide chain release factor 3,1
unknown,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase,1
unknown,preprotein translocase subunit SecA,11
unknown,CTP synthetase,10
unknown,capsular polysaccharide biosynthesis protein Cps4J,1
unknown,mannosyl-transferase,1
unknown,sugar ABC transporter ATP-binding protein SugC,1
unknown,carbamoyl phosphate synthase large subunit,12
unknown,hypothetical protein SP_0939,2
unknown,hypothetical protein SPy_1633,1
unknown,GTP-binding protein LepA,9
unknown,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,2
unknown,UreC,1
unknown,RNA polymerase sigma factor,10
unknown,hypothetical protein lmo2206,6
unknown,excinuclease ABC subunit A,20
unknown,RNA polymerase sigma factor SigB,3
unknown,malic enzyme,1
unknown,glucose-1-phosphate thymidylyltransferase,5
unknown,UDP-glucose 4-epimerase,5
unknown,urease accessory protein,1
unknown,dihydroxy-acid dehydratase,1
unknown,chaperonin GroEL,3
unknown,isopropylmalate isomerase large subunit,1
unknown,putative ABC transporter ATP-binding protein,1
unknown,phosphoketolase,2
unknown,F0F1 ATP synthase subunit alpha,20
unknown,S-adenosylmethionine synthase,6
unknown,formate acetyltransferase 3,1
unknown,UDP-glucose 6-dehydrogenase,4
unknown,elongation factor Tu,17
unknown,2-isopropylmalate synthase,1
unknown,formate--tetrahydrofolate ligase,21
unknown,DNA polymerase III subunit alpha,1
unknown,TDP-glucose pyrophosphorylase,3
unknown,hypothetical protein SA0847,2
unknown,"GDP-mannose 4,6-dehydratase",1
unknown,sugar ABC transporter ATP-binding protein,2
unknown,phosphoribosylformylglycinamide synthetase,4
unknown,molecular chaperone DnaK,9
unknown,sugar-transport ATP-binding protein ABC transporter SugC,1
unknown,imidazole glycerol phosphate synthase subunit HisF,1
unknown,DNA-directed RNA polymerase subunit beta,17
unknown,DNA excision repair protein subunit A,8
unknown,DNA gyrase subunit A,1
unknown,urease,2
unknown,glycosyl hydrolase,2
unknown,"Hsp60, 60K heat shock protein HtpB",1
unknown,ClpB protein,4
unknown,ATP-dependent protease ATP-binding subunit ClpX,21
unknown,lysine decarboxylase,13
unknown,gluconate 5-dehydrogenase,8
unknown,putative ATP-binding component of a transport system,9
unknown,pyruvate kinase,1
unknown,hypothetical protein,4
unknown,phosphoglyceromutase,3
unknown,glutamate dehydrogenase,8
unknown,capsular polysaccharide biosynthesis protein Cps4K,2
unknown,UDP-N-acetylglucosamine 2-epimerase,5
unknown,urease subunit beta,1
unknown,protein disaggregation chaperone,13
unknown,serine hydroxymethyltransferase,6
unknown,glutamate synthase NADPH large chain,6
unknown,microcompartment protein,1
unknown,resolvase family site-specific recombinase,11
Faecalibacterium prausnitzii,gluconate 5-dehydrogenase,19
Faecalibacterium prausnitzii,hypothetical protein,4
Faecalibacterium prausnitzii,RNA polymerase sigma factor,1
Faecalibacterium prausnitzii,hypothetical protein lmo2206,3
Faecalibacterium prausnitzii,excinuclease ABC subunit A,8
Faecalibacterium prausnitzii,RNA polymerase sigma factor RpoS,1
Faecalibacterium prausnitzii,glutamate dehydrogenase,4
Faecalibacterium prausnitzii,glucose-1-phosphate thymidylyltransferase,4
Faecalibacterium prausnitzii,ATP-dependent protease,2
Faecalibacterium prausnitzii,protein disaggregation chaperone,7
Faecalibacterium prausnitzii,ketol-acid reductoisomerase,4
Faecalibacterium prausnitzii,serine hydroxymethyltransferase,1
Faecalibacterium prausnitzii,maltose ABC transporter ATP-binding protein,1
Faecalibacterium prausnitzii,"type I restriction-modification system, M subunit",2
Faecalibacterium prausnitzii,glutamate synthase NADPH large chain,1
Faecalibacterium prausnitzii,S-adenosylmethionine synthase,1
Faecalibacterium prausnitzii,resolvase family site-specific recombinase,2
Faecalibacterium prausnitzii,F0F1 ATP synthase subunit alpha,10
Faecalibacterium prausnitzii,elongation factor Tu,8
Faecalibacterium prausnitzii,recombinase A,3
Faecalibacterium prausnitzii,formate--tetrahydrofolate ligase,1
Faecalibacterium prausnitzii,phosphate ABC transporter ATP-binding protein,1
Faecalibacterium prausnitzii,ABC transporter ATP-binding protein,1
Faecalibacterium prausnitzii,TDP-glucose pyrophosphorylase,2
Faecalibacterium prausnitzii,endopeptidase Clp ATP-binding chain C,10
Faecalibacterium prausnitzii,Holliday junction DNA helicase RuvB,3
Faecalibacterium prausnitzii,molecular chaperone DnaK,9
Faecalibacterium prausnitzii,phosphoribosylformylglycinamide synthetase,1
Faecalibacterium prausnitzii,CTP synthetase,4
Faecalibacterium prausnitzii,preprotein translocase subunit SecA,1
Faecalibacterium prausnitzii,tRNA (uracil-5-)-methyltransferase Gid,3
Faecalibacterium prausnitzii,DNA gyrase subunit A,2
Faecalibacterium prausnitzii,DNA-directed RNA polymerase subunit beta,7
Faecalibacterium prausnitzii,ClpB protein,1
Faecalibacterium prausnitzii,"Hsp60, 60K heat shock protein HtpB",3
Faecalibacterium prausnitzii,5-keto-4-deoxyuronate isomerase,1
Faecalibacterium prausnitzii,carbamoyl phosphate synthase large subunit,5
