Species	Zymo_D6323
Methanobrevibacter smithii	9367
unknown	475
Adlercreutzia equolifaciens	2997
Asaccharobacter celatus	5414
Bifidobacterium bifidum	4895
Bifidobacterium bifidum	1577
Bifidobacterium longum	5090
Bifidobacterium pseudocatenulatum	7709
Collinsella intestinalis	1248
uncultured Collinsella sp.	11350
unknown	5848
unknown	5929
unknown	380
Eggerthella lenta	1807
uncultured Eggerthella sp.	896
unknown	2086
Enorma massiliensis	1303
Gordonibacter pamelaeae	922
Coriobacteriia bacterium	811
uncultured Coriobacteriaceae bacterium	1648
Alistipes communis	5276
Alistipes finegoldii	4311
Alistipes ihumii	3618
Alistipes indistinctus	410
Alistipes onderdonkii	8727
Alistipes onderdonkii	4194
Alistipes putredinis	24238
Alistipes shahii	28165
Alistipes timonensis	1093
uncultured Alistipes sp.	2808
Bacteroides caccae CAG:21	5755
Bacteroides cellulosilyticus CAG:158	13073
Bacteroides cellulosilyticus	12889
Bacteroides cellulosilyticus	9647
Bacteroides dorei CAG:222	7721
Bacteroides dorei	23337
Bacteroides dorei	10685
Bacteroides eggerthii	690
Bacteroides faecis	20184
Bacteroides finegoldii CAG:203	4136
Bacteroides finegoldii	5304
Bacteroides fragilis	3482
Bacteroides massiliensis	23620
Bacteroides ovatus	46373
Bacteroides salyersiae	15236
Bacteroides stercoris	21817
Bacteroides thetaiotaomicron	28007
Bacteroides timonensis	4212
Bacteroides uniformis	80352
Bacteroides vulgatus	25276
Bacteroides vulgatus	216794
Bacteroides xylanisolvens	7281
Bacteroides xylanisolvens	4951
uncultured Bacteroides sp.	18776
unknown	3372
unknown	656
unknown	2951
unknown	5083
Barnesiella intestinihominis	8802
Butyricimonas faecalis	4450
Butyricimonas virosa	1924
Gabonia massiliensis	378
Odoribacter laneus	3236
Odoribacter splanchnicus	11540
uncultured Odoribacter sp.	298
Parabacteroides distasonis	36416
Parabacteroides distasonis	4108
Parabacteroides goldsteinii	2924
Parabacteroides johnsonii	2614
Parabacteroides johnsonii	5266
Parabacteroides merdae	7561
Tidjanibacter massiliensis	840
Candidatus Gastranaerophilales bacterium	12465
Agathobaculum butyriciproducens	14447
Anaerobutyricum hallii	9173
Anaerobutyricum hallii	8001
Anaerobutyricum soehngenii	3472
unknown	813
unknown	1055
unknown	2817
unknown	1128
Anaerostipes hadrus	8671
Anaerostipes hadrus	26052
Anaerotignum faecicola	2452
Anaerotruncus colihominis	886
Anaerotruncus massiliensis	1879
Bittarella massiliensis	725
[Ruminococcus] gnavus	1945
[Ruminococcus] gnavus	6566
[Ruminococcus] torques	1599
[Ruminococcus] torques	8211
Blautia hansenii	858
Blautia massiliensis	16463
Blautia obeum	2093
Blautia obeum	33883
Blautia obeum	27595
Blautia wexlerae	8285
Blautia wexlerae	45251
uncultured Blautia sp.	22148
unknown	2969
unknown	3074
unknown	2722
unknown	24311
unknown	686
Candidatus Cibiobacter qucibialis	12766
unknown	357
unknown	765
Clostridium disporicum	795
Clostridium phoceensis	3232
Clostridium sporogenes	6636
uncultured Clostridium sp.	32203
unknown	4907
unknown	529
unknown	4683
unknown	13260
unknown	6497
unknown	2086
unknown	5741
unknown	26821
unknown	517
unknown	14841
unknown	11674
unknown	1332
unknown	16790
unknown	434
unknown	1196
unknown	1074
unknown	2335
unknown	666
unknown	3247
unknown	312
unknown	4855
unknown	1103
Coprococcus catus	4305
Coprococcus comes	13133
Coprococcus eutactus	3657
Coprococcus phoceensis	6515
Dialister invisus	1268
uncultured Dialister sp.	3547
Dorea formicigenerans	11039
Dorea longicatena	20332
Dorea longicatena	5125
uncultured Dorea sp.	1162
unknown	2820
unknown	745
Dysosmobacter welbionis	7559
Eisenbergiella massiliensis	3558
Eisenbergiella tayi	1177
[Clostridium] innocuum	468
[Clostridium] spiroforme	455
[Eubacterium] eligens	8563
[Eubacterium] eligens	31317
Eubacterium ramulus	9340
uncultured Eubacterium sp.	21956
unknown	1811
unknown	3321
unknown	8272
unknown	3326
Evtepia gabavorous	2330
Faecalibacterium prausnitzii	54281
Faecalibacterium prausnitzii	6436
Faecalibacterium prausnitzii	150766
uncultured Faecalibacterium sp.	61120
Faecalicatena contorta	744
uncultured Flavonifractor sp.	1807
unknown	627
Frisingicoccus caecimuris	1000
Fusicatenibacter saccharivorans	90044
Gemmiger formicilis	24380
Holdemania filiformis	1653
Hungatella hathewayi	400
Intestinimonas butyriciproducens	637
Intestinimonas massiliensis	1957
uncultured Lachnobacterium sp.	22255
[Clostridium] bolteae	1578
[Clostridium] citroniae	503
[Clostridium] clostridioforme	564
[Clostridium] lavalense	1197
[Clostridium] symbiosum	1024
unknown	836
unknown	9386
unknown	700
Lactobacillus paracasei	236
Lactobacillus rogosae	3544
Lactococcus lactis	757
Lawsonibacter asaccharolyticus	5532
Longibaculum muris	352
Marvinbryantia formatexigens	558
uncultured Marvinbryantia sp.	4005
Massilioclostridium coli	421
Mediterraneibacter butyricigenes	1325
Mediterraneibacter massiliensis	570
Megamonas funiformis	17917
Megamonas rupellensis	3700
Merdibacter massiliensis	752
Monoglobus pectinilyticus	4819
unknown	598
Negativibacillus massiliensis	2466
Neglecta timonensis	2328
Oscillibacter sp.	9571
uncultured Oscillibacter sp.	10984
unknown	3519
unknown	4041
unknown	3611
unknown	12579
Phascolarctobacterium faecium	4278
Phascolarctobacterium succinatutens	5353
Phocea massiliensis	350
Pseudoflavonifractor capillosus	1528
unknown	549
unknown	677
Pseudoruminoccoccus massiliensis	20679
Romboutsia timonensis	2105
Roseburia faecis	39511
Roseburia hominis	13385
Roseburia hominis	4214
Roseburia intestinalis	22131
Roseburia inulinivorans	5350
uncultured Roseburia sp.	16830
unknown	1951
unknown	11243
unknown	1348
Ruminococcus bicirculans	34392
Ruminococcus bromii	105369
Ruminococcus faecis	9023
Ruminococcus faecis	4943
Ruminococcus lactaris	2228
uncultured Ruminococcus sp.	58306
unknown	1943
unknown	4699
unknown	2113
unknown	3944
unknown	3285
unknown	20384
unknown	55624
unknown	6262
Ruthenibacterium lactatiformans	6124
uncultured Solobacterium sp.	3409
unknown	255
Streptococcus thermophilus	1239
Subdoligranulum variabile	1651
Subdoligranulum variabile	487
unknown	81311
unknown	4865
Turicibacter sanguinis	550
Tyzzerella nexilis	6448
[Bacteroides] pectinophilus	859
