intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3503000,0.05980264954930347,0.6837790357212571,0.05980264954930347,0.05596836122551725,2.634027976020554,2.0,3.052533841006137,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_020091465.1 Phocaeicola vulgatus strain=BFG-191, ASM2009146v1",cfcaa7d93ee12c43b81dc72fd8321792,0.6837790357212571,3503000,0,55073000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.9131442075987509,0.9878129210311574,0.9504785643149541,0.9878129210311574,False,9227,9227,164861
2540000,0.04336246927069107,0.7959887182701347,0.04336246927069107,0.06225850868307241,4.0409448818897635,4.0,2.7577908062107,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_002865435.1 [Ruminococcus] gnavus strain=RJX1119, ASM286543v1",f038cfa3b87806eba6bcf358e6eb544e,0.7959887182701347,2540000,1,52533000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.9037242491894771,0.9926666897326989,0.948195469461088,0.9926666897326989,False,10264,19491,164861
2072000,0.03537284894837476,0.7321554770318022,0.03537284894837476,0.048325559107369236,3.84507722007722,3.0,3.8578299877151503,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018374235.1 Firmicutes bacterium, ASM1837423v1",9462195372eced9fcd0cfe13452b6958,0.7321554770318022,2072000,2,50461000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8978068290890446,0.9899935498261296,0.9439001894575871,0.9899935498261296,False,7967,27458,164861
2016000,0.03441682600382409,0.6888582269748189,0.03409246107620868,0.03515688974348087,2.9023535302954433,2.0,8.557910739400073,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000209445.1 Lachnospiraceae bacterium 9_1_43BFAA strain=9_1_43BFAA, Lach_bact_9_1_43BFAA_V1",332c8c5114c792ebb577e284268ee3a9,0.6954122111072784,1997000,3,48464000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8970136639735531,0.9883506275020123,0.9426821457377828,0.9883506275020123,False,5796,33254,164861
1807000,0.03084881180005463,0.7473029045643154,0.030746380770281342,0.043060517648200604,3.9416990560799556,3.0,4.508421289244723,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_009881245.1 Catenibacterium sp. BIOML-A1 strain=BIOML-A1, ASM988124v1",e88de87972ff05d9b12b19a0a8d4c07c,0.749792531120332,1801000,4,46663000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8938522880278086,0.990754017926599,0.9423031529772038,0.990754017926599,False,7099,40353,164861
1733000,0.029585495766184102,0.7361702127659574,0.029534280251297458,0.02926101382376669,2.7884393063583817,3.0,1.6584986570537914,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018364575.1 Clostridiales bacterium, ASM1836457v1",91f7818e98adbaee5ded1d3f81466d0e,0.7374468085106383,1730000,5,44933000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8926474381924441,0.9902235446893968,0.9414354914409204,0.9902235446893968,False,4824,45177,164861
1575000,0.026888145315487572,0.6683651804670913,0.026871073477192024,0.06712927860440007,7.031130876747141,6.0,6.679420621527592,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000156055.1 [Clostridium] hiranonis DSM 13275 strain=DSM 13275, ASM15605v1",85e63a598e1ecdf1c4e921940b4078df,0.6687898089171974,1574000,6,43359000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8898989051825006,0.9871068874065362,0.9385028962945183,0.9871068874065362,False,11067,56244,164861
1573000,0.026854001638896476,0.5084971676107964,0.026051625239005737,0.018415513675156647,1.9895150720838795,1.0,1.8723749192507926,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000156675.1 Blautia hansenii DSM 20583 strain=DSM 20583, ASM15667v1",e0b662fff30e6c5720c709ba019a492d,0.5241586137954015,1526000,7,41833000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8898624301737994,0.9793781497902305,0.934620289982015,0.9793781497902305,False,3036,59280,164861
1397000,0.023849358098880086,0.6182387125614662,0.02361035236274242,0.015607087182535591,1.8604483007953725,2.0,1.2451109078517522,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018383135.1 Lachnospiraceae bacterium, ASM1838313v1",ba2b0d2e72628a3e7efe8b3af4b04886,0.6244970943227537,1383000,8,40450000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8864628473176429,0.9849273722689839,0.9356951097933134,0.9849273722689839,False,2573,61853,164861
1332000,0.02273968860966949,0.48840633051159366,0.02265432941819175,0.014897398414421847,1.8507912584777695,2.0,1.009546246636783,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_902461135.1 uncultured Clostridiaceae bacterium, UHGG-TPA_MGYG-HGUT-00312",70cb2f2f2c506b169ba2b7abaccc25a1,0.4902465955097534,1327000,9,39123000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8851014430558477,0.9772673146671185,0.9311843788614831,0.9772673146671185,False,2456,64309,164861
1507000,0.025727260311390332,0.5927289461573861,0.02198852772466539,0.07647048119324765,9.78804347826087,10.0,3.8073906420559513,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900556555.1 uncultured Blautia sp., UMGS1944",a719d9a18057aa7bd27c9f5f23ee7ce4,0.6935112747353889,1288000,10,37835000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8886328675185082,0.9882633605715541,0.9384481140450311,0.9882633605715541,False,12607,76916,164861
1241000,0.021186151324774652,0.36822429906542054,0.02017891286533734,0.010621068657839027,1.4813874788494077,1.0,1.261525720814437,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_017850355.1 Firmicutes bacterium, ASM1785035v1",cbf42449e7127ede27d9af5f3ebc5bb8,0.3866043613707165,1182000,11,36653000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8830833158226152,0.9698085847300574,0.9264459502763362,0.9698085847300574,False,1751,78667,164861
1147000,0.01958139852499317,0.6039029535864979,0.019547254848402074,0.011045668775513919,1.5903930131004367,1.0,0.7458147112600886,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018363715.1 Eubacterium sp., ASM1836371v1",e5b574a9a28bd1032738f4e23a1a51c8,0.604957805907173,1145000,12,35508000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8808423442717715,0.9839179274795012,0.9323801358756364,0.9839179274795012,False,1821,80488,164861
1067000,0.018215651461349357,0.4834467120181406,0.01819857962305381,0.011245837402417795,1.7392120075046904,1.0,0.9624765478424014,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900543175.1 uncultured Fusobacterium sp., UMGS539",499c14474fcdb727bf3de72e4abeaee9,0.4839002267573696,1066000,13,34442000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8787904185401665,0.9768566404503515,0.927823529495259,0.9768566404503515,False,1854,82342,164861
1056000,0.018027861240098333,0.4289195775792039,0.018027861240098333,0.032475843286162286,5.070075757575758,5.0,2.836253129119932,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_902501515.1 Collinsella intestinalis, DSM13635",dd6db8872cd9b91694f4f50110667198,0.4289195775792039,1056000,14,33386000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8784967025397394,0.9730634434950837,0.9257800730174115,0.9730634434950837,False,5354,87696,164861
1389000,0.023712783392515705,0.5096711798839458,0.017993717563507237,0.032208951783623783,5.0379506641366225,5.0,2.79713901908059,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900758995.1 Peptostreptococcaceae bacterium, ERS608571_11",1746167974b802f00bebeb801e45757d,0.6716634429400387,1054000,15,32332000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.886298637665476,0.9872434220835306,0.9367710298745033,0.9872434220835306,False,5310,93006,164861
985000,0.01681576072111445,0.4187339606501283,0.016713329691341164,0.00962629123928643,1.6210418794688457,1.0,0.8385542164556737,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900540455.1 uncultured Faecalibacterium sp., UMGS253",51287ebe69151b58fddffedffa783845,0.42130025662959797,979000,16,31353000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8765264966861246,0.9725009978267861,0.9245137472564553,0.9725009978267861,False,1587,94593,164861
701000,0.011967358645178913,0.3528816986855409,0.01191614313029227,0.0058473501919799106,1.3810888252148996,1.0,0.7403924968668115,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000384195.1 Allobaculum stercoricanis DSM 13633 strain=DSM 13633, ASM38419v1",a63dffac6b0226792a0d92b39497fe32,0.3543983822042467,698000,17,30655000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8669617667002681,0.9670912973523285,0.9170265320262982,0.9670912973523285,False,964,95557,164861
646000,0.011028407538923791,0.26936026936026936,0.010925976509150505,0.004810112761659822,1.2390625,1.0,0.49438003711087486,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018369555.1 [Clostridium] spiroforme, ASM1836955v1",2b9c9159422be9fadc433f24ab51126b,0.2718855218855219,640000,18,30015000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8646796773317039,0.9588582068768441,0.9117689421042741,0.9588582068768441,False,793,96350,164861
1590000,0.027144222889920785,0.20693240901213172,0.010191887462441956,0.008146256543391099,2.2495812395309884,1.0,2.1779357996168605,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_905197675.1 uncultured Blautia sp., ERR1190610-mag-bin.6",ca695ec76e3ea2c2c3be31666bc2ead6,0.5511265164644714,597000,19,29418000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8901710475562381,0.9809644478812136,0.9355677477187259,0.9809644478812136,False,1343,97693,164861
562000,0.009594373122097788,0.27006246996636235,0.009594373122097788,0.00461600985072273,1.3540925266903914,1.0,0.6623257673107651,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_004155625.1 Bifidobacterium pseudolongum subsp. globosum strain=2009B, ASM415562v1",e8ccf0e2d189dca0e240ac909f336b7e,0.27006246996636235,562000,20,28856000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8608029792435855,0.9586501324869819,0.9097265558652837,0.9586501324869819,False,761,98454,164861
900000,0.015364654465992899,0.16952264381884946,0.009457798415733406,0.006878521906333214,2.046931407942238,1.0,2.7120468589185953,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_905188035.1 Firmicutes bacterium, ERR1430529-mag-bin.26",924bba47b190b093ffd2edb12262cf8b,0.27539779681762544,554000,21,28302000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8739784725480844,0.9592553022799136,0.916616887413999,0.9592553022799136,False,1134,99588,164861
2425000,0.041399207866703085,0.12787136294027565,0.00855299098606938,0.008831682447637707,2.906187624750499,2.0,4.068424447100256,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_017850315.1 [Ruminococcus] gnavus, ASM1785031v1",a615b98921938e156f21bd8feca172c8,0.6189382337927514,501000,22,27801000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.902374553068873,0.9846433349867071,0.9435089440277901,0.9846433349867071,False,1456,101044,164861
1431000,0.024429800600928708,0.2044981257809246,0.008382272603113904,0.012319469128538587,4.136456211812627,3.0,4.063612669825171,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_016694795.1 Peptacetobacter hiranonis strain=DGF055142, ASM1669479v1",7de259371e66a34b32d184454b1d69e5,0.5960016659725115,491000,23,27310000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.887150735309873,0.9834446419000928,0.9352976886049829,0.9834446419000928,False,2031,103075,164861
644000,0.010994263862332695,0.15387642660369932,0.006675088773559137,0.004816178477626607,2.030690537084399,2.0,1.1813033176426895,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900544395.1 uncultured Ruminococcus sp., UMGS669",6b0563358129ee256a28e47d42807e90,0.2534435261707989,391000,24,26919000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8645931919976984,0.9566880767537606,0.9106406343757294,0.9566880767537606,False,794,103869,164861
576000,0.009833378858235455,0.10011990407673861,0.00570199399071292,0.0023292349312451096,1.1497005988023952,1.0,0.4462584642847116,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900766005.1 uncultured Bacteroides sp., SRS295019_2",24e5a198308319a8b4e51d7f4d35b209,0.17266187050359713,334000,25,26585000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8614865006446151,0.9449165020672111,0.9032015013559131,0.9449165020672111,False,384,104253,164861
1766000,0.030148866429937176,0.10647997394985347,0.005582491122644086,0.0047737184658591175,2.4067278287461775,2.0,1.6338405242386789,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_003402615.1 Faecalimonas umbilicata strain=EGH7, ASM340261v1",8f68ad3a3ac7865b6608f5a056b98bde,0.5750569846955389,327000,26,26258000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8931907676819584,0.9823103911432527,0.9377505794126055,0.9823103911432527,False,787,105040,164861
334000,0.00570199399071292,0.12954638332652227,0.005411772739688609,0.002141197736274801,1.113564668769716,1.0,0.41239345980721764,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_019012965.1 Erysipelotrichaceae bacterium, ASM1901296v1",d530262de7110fe04ed0573e215b9b39,0.1364936657131181,317000,27,25941000,fastq_host_removed/Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,Toti_MySeq_20220201_I4_S12_L001_unmapped.fastq,fcd2a6bd,58576000,31,DNA,1000,58576,True,0.8464742792778449,0.9377787839265385,0.8921265316021917,0.9377787839265385,False,353,105393,164861
