intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2675000,0.08703149401353462,0.5221549873121218,0.08703149401353462,0.09651373227532167,1.8142056074766355,1.0,1.5327771127439678,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_020091465.1 Phocaeicola vulgatus strain=BFG-191, ASM2009146v1",cfcaa7d93ee12c43b81dc72fd8321792,0.5221549873121218,2675000,0,28061000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.9242639500326147,0.9792571603941964,0.9517605552134056,0.9792571603941964,False,4853,4853,50283
1737000,0.05651353461738678,0.5443434659981197,0.05651353461738678,0.06455462084601157,1.8687392055267702,2.0,1.20926964232659,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_002865435.1 [Ruminococcus] gnavus strain=RJX1119, ASM286543v1",f038cfa3b87806eba6bcf358e6eb544e,0.5443434659981197,1737000,1,26324000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.9114793918648032,0.980572647420007,0.9460260196424051,0.980572647420007,False,3246,8099,50283
1399000,0.04551665799062988,0.6313851817763461,0.04463820926600729,0.09030885189825587,3.3097667638483963,3.0,3.4202012119816207,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900556555.1 uncultured Blautia sp., UMGS1944",a719d9a18057aa7bd27c9f5f23ee7ce4,0.6438104003681546,1372000,2,24952000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.9051387816878045,0.9858955420197573,0.9455171618537809,0.9858955420197573,False,4541,12640,50283
1170000,0.03806611140031234,0.49639065817409767,0.03803357626236335,0.05075273949446135,2.1830624465355006,2.0,1.8847968208750432,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000156055.1 [Clostridium] hiranonis DSM 13275 strain=DSM 13275, ASM15605v1",85e63a598e1ecdf1c4e921940b4078df,0.4968152866242038,1169000,3,23783000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.8999345383601023,0.9776869922588138,0.9388107653094581,0.9776869922588138,False,2552,15192,50283
1185000,0.03855413846954711,0.3660777385159011,0.03370640291514836,0.03368931845753038,1.635135135135135,1.0,1.162510049394468,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018374235.1 Firmicutes bacterium, ASM1837423v1",9462195372eced9fcd0cfe13452b6958,0.41872791519434627,1036000,4,22747000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.9003044301391752,0.9723088871164872,0.9363066586278312,0.9723088871164872,False,1694,16886,50283
1024000,0.03331598125976054,0.42323651452282157,0.033185840707964605,0.03394785513990812,1.673529411764706,1.0,1.5812272765530389,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_009881245.1 Catenibacterium sp. BIOML-A1 strain=BIOML-A1, ASM988124v1",e88de87972ff05d9b12b19a0a8d4c07c,0.42489626556016596,1020000,5,21727000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.8960734971776653,0.9727676652927579,0.9344205812352115,0.9727676652927579,False,1707,18593,50283
994000,0.032339927121290996,0.29220583809810413,0.031591618948464344,0.02758387526599447,1.4284243048403709,1.0,1.3431657461434865,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_003434325.1 Lachnospiraceae bacterium AM25-17 strain=AM25-17, ASM343432v1",cc5902bf37702f57b9cf8323ece657aa,0.29912729461330123,971000,6,20756000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.8952144129274303,0.9618162946619183,0.9285153537946743,0.9618162946619183,False,1387,19980,50283
924000,0.03006246746486205,0.39191489361702125,0.029964862051015097,0.025794005926456257,1.4082519001085776,1.0,0.6627168160233649,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018364575.1 Clostridiales bacterium, ASM1836457v1",91f7818e98adbaee5ded1d3f81466d0e,0.3931914893617021,921000,7,19835000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.8931080833894517,0.9703372711902136,0.9317226772898326,0.9703372711902136,False,1297,21277,50283
883000,0.02872852680895367,0.3586515028432169,0.02872852680895367,0.037169619951076906,2.1166477916194792,2.0,1.2676769479008354,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_902501515.1 Collinsella intestinalis, DSM13635",dd6db8872cd9b91694f4f50110667198,0.3586515028432169,883000,8,18952000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.891801447192558,0.9674635281309913,0.9296324876617748,0.9674635281309913,False,1869,23146,50283
791000,0.025735294117647058,0.2921597633136095,0.025702758979698075,0.020364735596523676,1.2962025316455696,1.0,0.5677945425285773,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900539715.1 uncultured Lachnospiraceae bacterium, UMGS161",cde94971d436ef0685f97954a763fe1d,0.29252958579881655,790000,9,18162000,fastq_host_removed/Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,Toti_MySeq_20220331_I2_S10_L001_unmapped.fastq,6ecbaad5,30736000,31,DNA,1000,30736,True,0.8886418175152951,0.9611245506006371,0.9248831840579661,0.9611245506006371,False,1024,24170,50283
