intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3907000,0.16034638430600015,0.7626390786648448,0.16034638430600015,0.4913762278358539,11.958791911952906,11.0,7.356969319489514,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_020091465.1 Phocaeicola vulgatus strain=BFG-191, ASM2009146v1",cfcaa7d93ee12c43b81dc72fd8321792,0.7626390786648448,3907000,0,20459000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.9426636214869021,0.9912971110156968,0.9669803662512995,0.9912971110156968,False,46723,46723,95086
2020000,0.08290240499056062,0.5254796163069544,0.0719445128457687,0.047230927791683315,2.5618938961779807,2.0,1.7586124982914793,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900766005.1 uncultured Bacteroides sp., SRS295019_2",24e5a198308319a8b4e51d7f4d35b209,0.605515587529976,1753000,1,18706000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.9228158998809444,0.9839471786073042,0.9533815392441243,0.9839471786073042,False,4491,51214,95086
1621000,0.0665271279651974,0.7351473922902494,0.0665271279651974,0.07090423406179669,4.15916101172116,4.0,2.8519868134458575,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900543175.1 uncultured Fusobacterium sp., UMGS539",499c14474fcdb727bf3de72e4abeaee9,0.7351473922902494,1621000,2,17085000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.9162884633283517,0.9901237943154039,0.9532061288218778,0.9901237943154039,False,6742,57956,95086
1414000,0.05803168349339243,0.6523545706371191,0.05799064269884265,0.032602065498601264,2.1939136588818116,2.0,1.6288420544684754,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900110235.1 Megamonas sp. Calf98-2 strain=Calf98-2, IMG-taxon 2651870363 annotated assembly",84f38a6d24c77784d0e7ad2456e549bf,0.6528162511542013,1413000,3,15672000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.9122591567751984,0.9863374311319819,0.9492982939535901,0.9863374311319819,False,3100,61056,95086
794000,0.03258639087252729,0.30293780999618464,0.03258639087252729,0.011526407673053867,1.380352644836272,1.0,0.6199186398021221,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018368995.1 Sutterella wadsworthensis, ASM1836899v1",d102750e3a18d8ce1336a0ac2ad3dce2,0.30293780999618464,794000,4,14878000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.895433684794975,0.9622091160856475,0.9288214004403113,0.9622091160856475,False,1096,62152,95086
732000,0.030041861610440777,0.31308810949529514,0.030041861610440777,0.010832299181793324,1.407103825136612,1.0,0.6577439709315804,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_900540455.1 uncultured Faecalibacterium sp., UMGS253",51287ebe69151b58fddffedffa783845,0.31308810949529514,732000,5,14146000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.8930883295095229,0.9632326160324157,0.9281604727709694,0.9632326160324157,False,1030,63182,95086
498000,0.020438315685791675,0.24987328940699444,0.020233111713042765,0.00733020633952422,1.4137931034482758,1.0,3.144777765521171,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_021531595.1 Fusobacterium perfoetens strain=An877, ASM2153159v1",66ea04af98a58757d2acf4ebf6dfc894,0.2524075012671059,493000,6,13653000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.8820602054498581,0.9565616735339552,0.9193109394919066,0.9565616735339552,False,697,63879,95086
399000,0.016375277025363212,0.1593607305936073,0.014323237297874087,0.006173358854089981,1.6819484240687679,1.0,2.268316894341825,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018365155.1 Fusobacterium sp., ASM1836515v1",c6fe62fb74dd8457a7de7f43b285b02d,0.1821917808219178,349000,7,13304000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.8757762882630125,0.9465555139260526,0.9111659010945325,0.9465555139260526,False,587,64466,95086
1376000,0.056472133300500695,0.12023346303501946,0.012681605515882788,0.012262583345602929,3.773462783171521,3.0,2.363518847495412,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_905213925.1 uncultured Fusobacterium sp., SRR7721872-mag-bin.6",9fa303276d44cd196f9a9fcc9502b0b0,0.535408560311284,309000,8,12995000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.9114578441688082,0.9800492784033757,0.9457535612860919,0.9800492784033757,False,1166,65632,95086
3587000,0.14721333005006976,0.053548267556049654,0.011860789624887139,0.033148938855352,10.906574394463668,11.0,4.675814792586344,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_009101815.1 Bacteroides vulgatus strain=BIOML-A141, ASM910181v1",5025f2518c1839dc8c0a17e638b1380c,0.6646284973133222,289000,9,12706000,fastq_host_removed/Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,Toti_MySeq_20220201_Q2_S2_L001_unmapped.fastq,560be587,24366000,31,DNA,1000,24366,True,0.9400686830293021,0.9869081617235888,0.9634884223764455,0.9869081617235888,False,3152,68784,95086
