intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3041000,0.05044037884191146,0.5935975014639859,0.05044037884191146,0.04048406484924357,2.1374547846103256,2.0,3.361705924301531,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_020091465.1 Phocaeicola vulgatus strain=BFG-191, ASM2009146v1",cfcaa7d93ee12c43b81dc72fd8321792,0.5935975014639859,3041000,0,57248000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.9081427914332266,0.983316422414884,0.9457296069240553,0.983316422414884,False,6500,6500,160557
2564000,0.04252848778384116,0.8035098715136321,0.04252848778384116,0.07027410826061772,4.400546021840873,4.0,2.9794956616259705,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_002865435.1 [Ruminococcus] gnavus strain=RJX1119, ASM286543v1",f038cfa3b87806eba6bcf358e6eb544e,0.8035098715136321,2564000,1,54684000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.9031582825557982,0.992967880326728,0.9480630814412632,0.992967880326728,False,11283,17783,160557
2105000,0.0349151586524905,0.7438162544169611,0.0349151586524905,0.048039014181879336,3.6641330166270785,3.0,3.460914577322406,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018374235.1 Firmicutes bacterium, ASM1837423v1",9462195372eced9fcd0cfe13452b6958,0.7438162544169611,2105000,2,52579000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8974297290361483,0.9904982923037043,0.9439640106699263,0.9904982923037043,False,7713,25496,160557
2071000,0.03435120834646453,0.6136021667168221,0.03382043158785185,0.039967114482707074,3.147130946542423,2.0,9.515580798785921,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_003434325.1 Lachnospiraceae bacterium AM25-17 strain=AM25-17, ASM343432v1",cc5902bf37702f57b9cf8323ece657aa,0.6232320192597051,2039000,3,50540000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.896958445011973,0.9848629472670895,0.9409106961395313,0.9848629472670895,False,6417,31913,160557
1974000,0.032742291296919836,0.6457990115321252,0.03251007646502679,0.02350567088323773,1.9255102040816328,2.0,1.1336964306350497,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018365975.1 Firmicutes bacterium, ASM1836597v1",2424bd328a744795834549d86a3ccaed,0.6504118616144975,1960000,4,48580000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8955715578461353,0.98622003525275,0.9408957965494427,0.98622003525275,False,3774,35687,160557
1910000,0.03168073777969447,0.6207930689770077,0.030901159415482094,0.029746445187690353,2.5636070853462156,2.0,1.9141830944701659,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000156675.1 Blautia hansenii DSM 20583 strain=DSM 20583, ASM15667v1",e0b662fff30e6c5720c709ba019a492d,0.6364545151616128,1863000,5,46717000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8946199066205335,0.9855301503926629,0.9400750285065982,0.9855301503926629,False,4776,40463,160557
1856000,0.03078505199953557,0.7859574468085107,0.030635771036175753,0.04606463748077007,4.004331348132106,4.0,2.1111462449012275,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_018364575.1 Clostridiales bacterium, ASM1836457v1",91f7818e98adbaee5ded1d3f81466d0e,0.7897872340425532,1847000,6,44870000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8937926329693546,0.9924162674359083,0.9431044502026315,0.9924162674359083,False,7396,47859,160557
1535000,0.0254606976397021,0.5634891424365108,0.025394350544875516,0.01956937411635743,2.052253429131287,2.0,1.1319883391826053,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_902461135.1 uncultured Clostridiaceae bacterium, UHGG-TPA_MGYG-HGUT-00312",70cb2f2f2c506b169ba2b7abaccc25a1,0.5649613544350387,1531000,7,43339000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8883343614431689,0.9817493096665633,0.9350418355548661,0.9817493096665633,False,3142,51001,160557
1513000,0.02509578861815588,0.6420382165605095,0.025079201844449235,0.048873608749540665,5.189814814814815,4.0,6.763313499277996,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_000156055.1 [Clostridium] hiranonis DSM 13275 strain=DSM 13275, ASM15605v1",85e63a598e1ecdf1c4e921940b4078df,0.6424628450106157,1512000,8,41827000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8879207820353646,0.9858289076851462,0.9368748448602554,0.9858289076851462,False,7847,58848,160557
1483000,0.024598185406956494,0.6095435684647303,0.024365970575063445,0.023293908082487838,2.545949625595643,2.0,3.0469603865475716,/mnt/k/data/databases/sourmash/genbank-2022.03-bacteria-k31.zip,"GCA_009881245.1 Catenibacterium sp. BIOML-A1 strain=BIOML-A1, ASM988124v1",e88de87972ff05d9b12b19a0a8d4c07c,0.6153526970954357,1469000,9,40358000,fastq_host_removed/Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,Toti_MySeq_20220201_MN4_S8_L001_unmapped.fastq,fa2a1c4f,60289000,31,DNA,1000,60289,True,0.8873473311797856,0.9844588145785413,0.9359030728791635,0.9844588145785413,False,3740,62588,160557
